DEM数据文件,视点高度,时间消耗比
平原,1841,0.354506403
平原,1851,0.377355648
平原,1861,0.388177688
平原,1871,0.375090941
平原,1881,0.352637788
平原,1891,0.358567844
平原,1901,0.408416442
平原,1911,0.369950575
平原,1921,0.33509865
平原,1931,0.383104214
平原,1941,0.37671232
平原,1951,0.401122223
平原,1961,0.355715185
平原,1971,0.352404942
平原,1981,0.370255137
平原,1991,0.385360218
平原,2001,0.37704663
平原,2011,0.321131317
平原,2021,0.417721751
平原,2031,0.356185761
平原,2041,0.344634336
平原,2051,0.405437552
平原,2061,0.403425123
平原,2071,0.399991608
平原,2081,0.386324539
平原,2091,0.403395142
平原,2101,0.347257736
平原,2111,0.374536033
平原,2121,0.381106673
平原,2131,0.36397512
平原,2141,0.293346232
平原,2151,0.396064275
平原,2161,0.402760947
平原,2171,0.368413212
平原,2181,0.349700841
平原,2191,0.342020931
平原,2201,0.383071946
平原,2211,0.409376952
平原,2221,0.434471198
平原,2231,0.328223651
平原,2241,0.408659013
平原,2251,0.367157263
平原,2261,0.318111866
平原,2271,0.382673187
平原,2281,0.367374263
平原,2291,0.364730464
平原,2301,0.347629401
平原,2311,0.356886958
平原,2321,0.320087862
平原,2331,0.318727819
平原,2341,0.38442337
平原,2351,0.352929393
平原,2361,0.356100766
平原,2371,0.366583233
平原,2381,0.352019182
平原,2391,0.411379273
平原,2401,0.405096514
平原,2411,0.372088082
平原,2421,0.379182973
平原,2431,0.39752396
平原,2441,0.352928058
平原,2451,0.340702048
平原,2461,0.380786912
平原,2471,0.305085015
平原,2481,0.406191753
平原,2491,0.431779238
平原,2501,0.373406342
平原,2511,0.330549245
平原,2521,0.402849026
平原,2531,0.393959502
平原,2541,0.357026025
平原,2551,0.37446443
平原,2561,0.295007347
平原,2571,0.359329927
平原,2581,0.372295225
平原,2591,0.358696015
平原,2601,0.372450231
平原,2611,0.386255703
平原,2621,0.337514746
平原,2631,0.357452128
平原,2641,0.408143862
平原,2651,0.415409564
平原,2661,0.329468949
平原,2671,0.374772351
平原,2681,0.46453562
平原,2691,0.406398436
平原,2701,0.418682213
平原,2711,0.386985863
平原,2721,0.410451215
平原,2731,0.40575753
平原,2741,0.33446584
平原,2751,0.36390689
平原,2761,0.372027906
平原,2771,0.350311084
平原,2781,0.379992162
平原,2791,0.417297241
平原,2801,0.402178141
平原,2811,0.394511897
平原,2821,0.358046796
平原,2831,0.384262903
平原,2841,0.301074239
平原,2851,0.315497227
平原,2861,0.403248838
平原,2871,0.375700319
平原,2881,0.372409367
平原,2891,0.346798385
平原,2901,0.368131564
平原,2911,0.361561121
平原,2921,0.363734787
平原,2931,0.44155362
平原,2941,0.389886153
平原,2951,0.453325321
平原,2961,0.389341868
平原,2971,0.370493764
平原,2981,0.363051577
平原,2991,0.353099451
平原,3001,0.378344905
平原,3011,0.358260392
平原,3021,0.372311029
平原,3031,0.457815818
平原,3041,0.338932175
平原,3051,0.388212723
平原,3061,0.410144114
平原,3071,0.339862173
平原,3081,0.325586937
平原,3091,0.385584881
平原,3101,0.31712108
平原,3111,0.379877968
平原,3121,0.367881312
平原,3131,0.375137989
平原,3141,0.405434824
平原,3151,0.366366995
平原,3161,0.386226761
平原,3171,0.406920606
平原,3181,0.396361291
平原,3191,0.308782293
平原,3201,0.294706731
平原,3211,0.34769496
平原,3221,0.463183297
平原,3231,0.397013332
平原,3241,0.412966563
平原,3251,0.365499501
平原,3261,0.380279588
平原,3271,0.344171307
平原,3281,0.322483104
平原,3291,0.316570275
平原,3301,0.358367471
平原,3311,0.37028821
平原,3321,0.323542648
平原,3331,0.390729559
平原,3341,0.4573514
平原,3351,0.37243711
平原,3361,0.356279205
平原,3371,0.30493631
平原,3381,0.314852936
平原,3391,0.382304164
平原,3401,0.359644128
平原,3411,0.417716132
平原,3421,0.353877024
平原,3431,0.333899046
平原,3441,0.31878108
平原,3451,0.381401364
平原,3461,0.375002892
平原,3471,0.396711793
平原,3481,0.413132052
平原,3491,0.367155789
平原,3501,0.348029568
平原,3511,0.408279488
平原,3521,0.396548156
平原,3531,0.447499187
平原,3541,0.352440224
平原,3551,0.403229977
平原,3561,0.389356815
平原,3571,0.369383931
平原,3581,0.436518075
平原,3591,0.395793154
平原,3601,0.403882403
平原,3611,0.345895269
平原,3621,0.440685484
平原,3631,0.366000763
平原,3641,0.349310371
平原,3651,0.35212437
平原,3661,0.407817711
平原,3671,0.372144742
平原,3681,0.403581601
平原,3691,0.348398195
平原,3701,0.382856649
平原,3711,0.399615765
平原,3721,0.382690003
平原,3731,0.412022013
平原,3741,0.367412278
平原,3751,0.355839335
平原,3761,0.433237672
平原,3771,0.342633352
平原,3781,0.366713173
平原,3791,0.322932279
平原,3801,0.409929353
平原,3811,0.3734808
平原,3821,0.353917401
平原,3831,0.35086017
平原,3841,0.387221858
平原,3851,0.35622251
平原,3861,0.330872955
平原,3871,0.346814692
平原,3881,0.349647996
平原,3891,0.37130357
平原,3901,0.429619147
平原,3911,0.368380687
平原,3921,0.369938443
平原,3931,0.429759249
平原,3941,0.369081523
平原,3951,0.405794821
平原,3961,0.336820541
平原,3971,0.394519058
平原,3981,0.378562408
平原,3991,0.405688423
平原,4001,0.379003854
平原,4011,0.408725323
平原,4021,0.339708506
平原,4031,0.369683012
平原,4041,0.333373642
平原,4051,0.376710041
平原,4061,0.397080715
平原,4071,0.40931089
平原,4081,0.388027482
平原,4091,0.349660187
平原,4101,0.315023325
平原,4111,0.390478186
平原,4121,0.407076077
平原,4131,0.354618851
平原,4141,0.416967956
平原,4151,0.4055917
平原,4161,0.439074986
平原,4171,0.442006517
平原,4181,0.42690241
平原,4191,0.396516568
平原,4201,0.348634365
平原,4211,0.404374854
平原,4221,0.377614726
平原,4231,0.36633966
平原,4241,0.392413912
平原,4251,0.407365877
平原,4261,0.344613513
平原,4271,0.372445338
平原,4281,0.391644222
平原,4291,0.403754827
平原,4301,0.39799274
平原,4311,0.388349379
平原,4321,0.373779571
平原,4331,0.368747694
平原,4341,0.387487673
平原,4351,0.337962064
平原,4361,0.402422098
平原,4371,0.35719883
平原,4381,0.414815949
平原,4391,0.351900306
平原,4401,0.371432228
平原,4411,0.387041992
平原,4421,0.421690804
平原,4431,0.349444463
平原,4441,0.383853965
平原,4451,0.383305561
平原,4461,0.346456106
平原,4471,0.410567646
平原,4481,0.397558183
平原,4491,0.314294767
平原,4501,0.438835947
平原,4511,0.344007291
平原,4521,0.418936166
平原,4531,0.328455886
平原,4541,0.404483746
平原,4551,0.401098971
平原,4561,0.329374449
平原,4571,0.320941989
平原,4581,0.371188972
平原,4591,0.39990011
平原,4601,0.385872896
平原,4611,0.39762103
平原,4621,0.333979601
平原,4631,0.391611001
平原,4641,0.371705302
平原,4651,0.343269034
平原,4661,0.392244552
平原,4671,0.390546259
平原,4681,0.392350161
平原,4691,0.372667572
平原,4701,0.383102496
平原,4711,0.412332119
平原,4721,0.399459046
平原,4731,0.394856999
平原,4741,0.343989319
平原,4751,0.359915056
平原,4761,0.308503486
平原,4771,0.335992006
平原,4781,0.396613538
平原,4791,0.323699766
平原,4801,0.416237541
平原,4811,0.354730369
平原,4821,0.340770592
平原,4831,0.383662536
平原,4841,0.406384462
平原,4851,0.31870566
平原,4861,0.43919529
平原,4871,0.462887458
平原,4881,0.397174012
平原,4891,0.377505614
平原,4901,0.34369565
平原,4911,0.365971098
平原,4921,0.388636844
平原,4931,0.321645575
平原,4941,0.377100887
平原,4951,0.429160144
平原,4961,0.445887699
平原,4971,0.336495742
平原,4981,0.432079685
平原,4991,0.437602934
丘陵,1,0.146225193
丘陵,11,0.209854002
丘陵,21,0.189556983
丘陵,31,0.213607624
丘陵,41,0.258481073
丘陵,51,0.252885813
丘陵,61,0.245226796
丘陵,71,0.229013025
丘陵,81,0.240656297
丘陵,91,0.225473708
丘陵,101,0.23096502
丘陵,111,0.208297838
丘陵,121,0.269695219
丘陵,131,0.239856217
丘陵,141,0.265624766
丘陵,151,0.293935846
丘陵,161,0.242143095
丘陵,171,0.283514405
丘陵,181,0.314673383
丘陵,191,0.290200737
丘陵,201,0.305560506
丘陵,211,0.273964223
丘陵,221,0.302237684
丘陵,231,0.317583011
丘陵,241,0.256028329
丘陵,251,0.317840866
丘陵,261,0.264900641
丘陵,271,0.286259581
丘陵,281,0.307311537
丘陵,291,0.313459747
丘陵,301,0.310474199
丘陵,311,0.297475027
丘陵,321,0.283878003
丘陵,331,0.313625699
丘陵,341,0.318903696
丘陵,351,0.329182562
丘陵,361,0.293701074
丘陵,371,0.303626978
丘陵,381,0.325445759
丘陵,391,0.381100276
丘陵,401,0.243131365
丘陵,411,0.307227509
丘陵,421,0.331636386
丘陵,431,0.375964824
丘陵,441,0.315293409
丘陵,451,0.317946117
丘陵,461,0.262683688
丘陵,471,0.303814253
丘陵,481,0.338731938
丘陵,491,0.2902296
丘陵,501,0.30561555
丘陵,511,0.31194806
丘陵,521,0.372114081
丘陵,531,0.356820552
丘陵,541,0.382154675
丘陵,551,0.381858206
丘陵,561,0.300160549
丘陵,571,0.373395764
丘陵,581,0.370173264
丘陵,591,0.292248416
丘陵,601,0.375984147
丘陵,611,0.357059785
丘陵,621,0.342569404
丘陵,631,0.369971893
丘陵,641,0.383680534
丘陵,651,0.329768587
丘陵,661,0.38211416
丘陵,671,0.3155827
丘陵,681,0.293012076
丘陵,691,0.394368285
丘陵,701,0.340665615
丘陵,711,0.292040161
丘陵,721,0.334115348
丘陵,731,0.320814734
丘陵,741,0.356919112
丘陵,751,0.366826225
丘陵,761,0.355486959
丘陵,771,0.340825358
丘陵,781,0.347343862
丘陵,791,0.400110256
丘陵,801,0.34144574
丘陵,811,0.368688681
丘陵,821,0.27848125
丘陵,831,0.29905769
丘陵,841,0.323530788
丘陵,851,0.394903523
丘陵,861,0.320929213
丘陵,871,0.373973091
丘陵,881,0.332656087
丘陵,891,0.344130129
丘陵,901,0.38171728
丘陵,911,0.324540921
丘陵,921,0.371736959
丘陵,931,0.362473918
丘陵,941,0.336538467
丘陵,951,0.390172208
丘陵,961,0.316334441
丘陵,971,0.321483843
丘陵,981,0.338197102
丘陵,991,0.347818036
丘陵,1001,0.346341149
丘陵,1011,0.307043786
丘陵,1021,0.405212023
丘陵,1031,0.399153045
丘陵,1041,0.331259649
丘陵,1051,0.362559877
丘陵,1061,0.338194516
丘陵,1071,0.275675729
丘陵,1081,0.383151794
丘陵,1091,0.328045895
丘陵,1101,0.387225983
丘陵,1111,0.332516633
丘陵,1121,0.375122842
丘陵,1131,0.359382575
丘陵,1141,0.3409961
丘陵,1151,0.375952363
丘陵,1161,0.333830899
丘陵,1171,0.363574949
丘陵,1181,0.348937311
丘陵,1191,0.342181842
丘陵,1201,0.370988277
丘陵,1211,0.352606063
丘陵,1221,0.332573042
丘陵,1231,0.357722353
丘陵,1241,0.31432834
丘陵,1251,0.391592616
丘陵,1261,0.332704773
丘陵,1271,0.359989364
丘陵,1281,0.336038006
丘陵,1291,0.349920933
丘陵,1301,0.391265506
丘陵,1311,0.308601695
丘陵,1321,0.412775445
丘陵,1331,0.398069823
丘陵,1341,0.348454538
丘陵,1351,0.338689763
丘陵,1361,0.387796338
丘陵,1371,0.380022073
丘陵,1381,0.35080179
丘陵,1391,0.36942334
丘陵,1401,0.336788434
丘陵,1411,0.357238996
丘陵,1421,0.369384194
丘陵,1431,0.422532679
丘陵,1441,0.326951099
丘陵,1451,0.353475267
丘陵,1461,0.385771789
丘陵,1471,0.351864959
丘陵,1481,0.339441524
丘陵,1491,0.298432724
丘陵,1501,0.425040857
丘陵,1511,0.35046364
丘陵,1521,0.315215684
丘陵,1531,0.361483043
丘陵,1541,0.370084002
丘陵,1551,0.394941862
丘陵,1561,0.349261185
丘陵,1571,0.362520356
