DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3461376,34.59521355,146.1540585,317.041889,400,0.000774833
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6093744,34.56606084,310.6086081,353.4902996,400,0.000581058
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.261383,34.62319799,61.24016569,256.4095451,400,0.002597403
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3641014,34.52919213,3.41976957,297.7092261,400,0.081117994
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.2896832,34.60679842,24.63111691,303.1971436,400,0.057775776
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5053855,41.43892977,145.9717017,333.0911064,400,0.006962296
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.566685,41.45626837,5.875300524,119.8358734,400,0.012782694
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4513363,41.35235669,195.1363232,290.0515048,400,0.002574003
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6208884,41.45747719,257.747134,325.4623446,400,0.001384494
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4520148,41.46040661,283.0697132,302.5575729,400,0.036872747
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.44997253,28.80872965,265.1962965,276.4020401,450,0.000862069
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.67017382,28.78885491,240.7973374,333.1856514,450,0.006055363
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.49664467,28.78886638,60.63246034,338.7497901,450,0.020674947
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.73766236,28.82051299,278.2482954,334.0257519,450,0.016498263
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.72549335,28.74010084,259.775502,261.8978175,450,5.23E-05
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5422073,34.59574463,232.8270431,279.88871,450,0.000139247
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5718763,34.55212296,69.53090331,137.4227195,450,0.001157423
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8091649,34.5318156,11.2961108,55.10989525,450,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3753457,34.63077115,268.7338386,319.9157961,450,0.004237288
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4077817,34.5808651,140.3206405,170.337583,450,0.018691589
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4009304,41.7290451,310.9331576,357.8332223,450,0.001594896
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2871038,41.7079961,136.9584239,276.2285862,450,0.008442995
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2873128,41.76740549,270.6291174,321.6108588,450,0.058823529
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.1889441,41.7150953,222.5500131,318.1602757,450,0.000832986
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3520211,41.69955576,78.71938739,108.185067,450,0.002159827
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.61002795,28.42511847,141.6983473,350.8574341,500,0.012967501
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.40321835,28.44346279,87.19431012,267.8980387,500,0.013928915
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.66038189,28.45442837,34.32591203,253.3531481,500,0.012169408
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.35444656,28.51357786,349.4330335,358.0007952,500,0.002415989
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.42319231,28.37841655,9.805134784,278.8362655,500,0.043706206
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.449008,34.66883046,301.4558667,334.4325009,500,0.00065189
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6487939,34.66446887,79.97458854,87.68522721,500,0.000547454
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4125765,34.71447991,169.5150985,308.2779681,500,0.001365987
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4455927,34.62938091,18.30392514,359.6359133,500,0.151171562
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.610064,34.64417056,200.1763665,358.3149827,500,0.005250297
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5289247,41.30152071,54.18907803,89.85318788,500,0.024171057
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6124394,41.34129534,308.7750955,309.8416004,500,0
